Name;Associated Newsroom Selection;Associated Newsroom Topic;Country Type;Flag;Iso Code;Original Newsroom Country ID;Term ID
Austria;DC-Austria;Austria;Member states of the EU;Austria_800.png;AT;283;646
Belgium;DC-Belgium;Belgium;Member states of the EU;Belgium_800.png;BE;284;901
Bulgaria;;Bulgaria;Member states of the EU;Bulgaria_800.png;BG;285;680
China;;;;China_800.png;CN;;1595
Croatia;;;Acceding Country;Croatia_800.png;HR;;919
Cyprus;;Cyprus;Member states of the EU;Cyprus_800.png;CY;286;902
Czech Republic;;Czech Republic;Member states of the EU;Czech Republic_800.png;CZ;287;686
Denmark;;Denmark;Member states of the EU;Denmark_800.png;DK;288;687
Estonia;;Estonia;Member states of the EU;Estonia_800.png;EE;289;906
Finland;;Finland;Member states of the EU;Finland_800.png;FI;290;688
France;;France;Member states of the EU;France_800.png;FR;291;647
Germany;;Germany;Member states of the EU;Germany_800.png;DE;292;904
Greece;;Greece;Member states of the EU;Greece_800.png;GR;293;905
Hungary;;Hungary;Member states of the EU;Hungary_800.png;HU;294;681
Iceland;;;Non-EU Countries;Iceland_800.png;IS;;918
Ireland;;Ireland;Member states of the EU;Ireland_800.png;IE;295;903
Israel;;Israël;Non-EU Countries;Israel_800.png;IL;344;898
Italy;;Italy;Member states of the EU;Italy_800.png;IT;296;678
Latvia;;Latvia;Member states of the EU;Latvia_800.png;LV;297;896
Lithuania;;Lithuania;Member states of the EU;Lithuania_800.png;LT;298;675
Luxembourg;;Luxembourg;Member states of the EU;Luxembourg_800.png;LU;299;683
Macedonia;;;;Macedonia_800.png;MK;;1594
Malta;;Malta;Member states of the EU;Malta_800.png;MT;300;673
Netherlands;;Netherlands;Member states of the EU;Netherlands_800.png;NL;301;674
Norway;;;Non-EU Countries;Norway_800.png;NO;;920
Poland;;Poland;Member states of the EU;Poland_800.png;PL;302;684
Portugal;;Portugal;Member states of the EU;Portugal_800.png;PT;303;685
Romania;;Romania;Member states of the EU;Romania_800.png;RO;304;648
Serbia;;;;Serbia_800.png;RS;;1593
Slovakia;;Slovak Republic;Member states of the EU;Slovakia_800.png;SK;305;724
Slovenia;;Slovenia;Member states of the EU;Slovenia_800.png;SI;306;679
Spain;;Spain;Member states of the EU;Spain_800.png;ES;307;897
Sweden;;Sweden;Member states of the EU;Sweden_800.png;SE;308;682
Switzerland;;;Non-EU Countries;Switzerland_800.png;CH;;917
Turkey;;;Non-EU Countries;Turkey_800.png;TR;;921
United Kingdom;;United Kingdom;Member states of the EU;United Kingdom_800.png;GB;309;676
